HOM1-1-ND,D18,0.27,0.17,0.17,0.02,0.02,0.02,0.02,0.02
HOM1-1-ND,CSF,0.31,0.27,0.09,0.06,0.02,0.02,0.02,0.02
HOM1-1-ND,D2,0.28,0.28,0.12,0.02,0.02,0.02,0.02,0.02
HET1-1-D,D19,0.48,0.26,0.05,0.05,0.05,0.05,0.05,0.05
HET1-1-D,D3,0.47,0.05,0.05,0.05,0.05,0.05,0.05,0.05
HET1-1-D,D8,0.36,0.25,0.1,0.05,0.05,0.05,0.05,0.05
HET1-1-D,D5,0.41,0.21,0.05,0.05,0.05,0.05,0.05,0.05
HET1-1-D,vWA,0.38,0.31,0.1,0.05,0.06,0.05,0.05,0.05
HET1-1-D,TH01,0.36,0.31,0.23,0.05,0.05,0.05,0.05,0.05
HET1-1-D,D21,0.33,0.33,0.2,0.05,0.05,0.05,0.05,0.05
HET1-1-D,D13,0.34,0.25,0.1,0.05,0.05,0.05,0.05,0.05
HET1-1-D,TPOX,0.41,0.41,0.34,0.05,0.05,0.05,0.05,0.05
HET1-1-D,D7,0.34,0.34,0.17,0.05,0.05,0.05,0.05,0.05
HET1-1-D,D16,0.5,0.5,0.15,0.05,0.05,0.05,0.05,0.05
HET1-1-D,FGA,0.43,0.26,0.14,0.05,0.05,0.05,0.05,0.05
HET1-1-D,D18,0.23,0.23,0.23,0.08,0.05,0.05,0.05,0.05
HET1-1-D,CSF,0.14,0.1,0.1,0.1,0.05,0.05,0.05,0.05
HET1-1-D,D2,0.21,0.21,0.21,0.21,0.05,0.05,0.05,0.05
HET2-1-D,D19,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,D3,0.21,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,D8,0.13,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,D5,0.15,0.04,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,vWA,0.16,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,TH01,0.28,0.1,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,D21,0.25,0.04,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,D13,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,TPOX,0.34,0.13,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,D7,0.28,0.06,0.06,0.02,0.02,0.02,0.02,0.02
HET2-1-D,D16,0.28,0.1,0.04,0.02,0.02,0.02,0.02,0.02
HET2-1-D,FGA,0.31,0.1,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,D18,0.4,0.25,0.02,0.02,0.02,0.02,0.02,0.02
HET2-1-D,CSF,0.4,0.27,0.14,0.06,0.02,0.02,0.02,0.02
HET2-1-D,D2,0.4,0.36,0.16,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D19,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D3,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D8,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,vWA,0.12,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,TH01,0.17,0.17,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D21,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D13,0.33,0.21,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,TPOX,0.21,0.21,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D7,0.27,0.27,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D16,0.15,0.09,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,FGA,0.46,0.02,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,D18,0.27,0.17,0.17,0.02,0.02,0.02,0.02,0.02
HOM1-1-D,CSF,0.31,0.27,0.09,0.06,0.02,0.02,0.02,0.02
HOM1-1-D,D2,0.28,0.28,0.12,0.02,0.02,0.02,0.02,0.02
